Month,State,Year,Num_of_Arrivals
October,TAS,2000,2900
October,Total,2000,426510
October,VIC,2000,69020
October,WA,2000,36480
November,ACT,2000,3030
November,NSW,2000,194410
November,NT,2000,4910
November,QLD,2000,120840
November,SA,2000,8660
November,TAS,2000,3020
November,Total,2000,459910
November,VIC,2000,78130
November,WA,2000,46240
December,ACT,2000,4660
December,NSW,2000,237720
December,NT,2000,4280
December,QLD,2000,135500
December,SA,2000,16660
December,TAS,2000,5900
December,Total,2000,559930
December,VIC,2000,89380
December,WA,2000,65620
January,ACT,2001,3540
January,NSW,2001,176100
January,NT,2001,4480
January,QLD,2001,107960
January,SA,2001,10460
January,TAS,2001,3110
January,Total,2001,416600
January,VIC,2001,67650
January,WA,2001,43130
February,ACT,2001,4350
February,NSW,2001,184340
February,NT,2001,4870
February,QLD,2001,98480
February,SA,2001,10270
February,TAS,2001,3990
February,Total,2001,429200
February,VIC,2001,79620
February,WA,2001,43180
March,ACT,2001,3740
March,NSW,2001,174370
March,NT,2001,5740
March,QLD,2001,113590
March,SA,2001,10480
March,TAS,2001,3500
March,Total,2001,428750
March,VIC,2001,73280
March,WA,2001,43670
April,ACT,2001,4430
April,NSW,2001,164850
April,NT,2001,5960
April,QLD,2001,115840
April,SA,2001,9920
April,TAS,2001,2590
April,Total,2001,405380
April,VIC,2001,64350
April,WA,2001,37140
May,ACT,2001,3020
May,NSW,2001,139860
May,NT,2001,5690
May,QLD,2001,98830
May,SA,2001,5620
May,TAS,2001,1250
May,Total,2001,330180
May,VIC,2001,49100
May,WA,2001,26230
June,ACT,2001,2450
June,NSW,2001,142210
June,NT,2001,5400
June,QLD,2001,133220
June,SA,2001,6520
June,TAS,2001,1490
June,Total,2001,370020
June,VIC,2001,48880
June,WA,2001,29530
July,ACT,2001,5360
July,NSW,2001,173030
July,NT,2001,8220
July,QLD,2001,139450
July,SA,2001,11710
July,TAS,2001,1780
July,Total,2001,446880
July,VIC,2001,74260
July,WA,2001,33050
August,ACT,2001,3890
August,NSW,2001,154450
August,NT,2001,6660
August,QLD,2001,125410
August,SA,2001,6930
August,TAS,2001,1490
August,Total,2001,384590
August,VIC,2001,53730
August,WA,2001,31960
September,ACT,2001,3600
September,NSW,2001,142230
September,NT,2001,7200
September,QLD,2001,114220
September,SA,2001,7850
September,TAS,2001,1810
September,Total,2001,366290
September,VIC,2001,53640
